DATAFLOW,LAST UPDATE,freq,int_rt,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,DE,2016-03-01,0.17,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,IT,2016-03-01,1.38,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,DE,2016-04-01,0.13,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,IT,2016-04-01,1.44,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,DE,2016-05-01,0.13,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,IT,2016-05-01,1.53,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,DE,2016-06-01,-0.02,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,IT,2016-06-01,1.45,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,DE,2016-07-01,-0.15,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,IT,2016-07-01,1.23,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,DE,2016-08-01,-0.13,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,IT,2016-08-01,1.18,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,DE,2016-09-01,-0.09,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,IT,2016-09-01,1.27,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,DE,2016-10-01,0.0,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,IT,2016-10-01,1.45,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,DE,2016-11-01,0.19,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,IT,2016-11-01,1.94,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,DE,2016-12-01,0.25,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,IT,2016-12-01,1.89,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,DE,2017-01-01,0.25,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,IT,2017-01-01,1.99,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,DE,2017-02-01,0.26,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,IT,2017-02-01,2.35,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,DE,2017-03-01,0.35,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,IT,2017-03-01,2.4,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,DE,2017-04-01,0.22,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,IT,2017-04-01,2.26,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,DE,2017-05-01,0.34,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,IT,2017-05-01,2.19,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,DE,2017-06-01,0.25,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,IT,2017-06-01,2.05,,
